nevertheless	それでもなお
modify	修正する
gonna	〜するつもり（口語）
reliability	信頼性
electrode	電極
disposition	性質
dim	薄暗い
goodness	善良さ
oven	オーブン
recognised	認められた［recogniseの過去分詞］〈イギリス英語〉
cardiac	心臓の
tide	潮
cabinet	内閣|戸棚
festival	祭り
deliberately	故意に
harmony	調和
lodge	宿泊する
pillow	枕
ha	へえ（感嘆）
continent	大陸
satellite	衛星
altar	祭壇
theological	神学の
illusion	錯覚
obscure	不明瞭な
theater	劇場
backward	後ろ向きの
disclose	公開する
expectation	期待
kidney	腎臓
widow	未亡人
mandate	命令
cop	警官
bishop	司教
disclosure	開示
inflammatory	炎症の
borrow	借りる
respiratory	呼吸の
publicly	公に
bundle	束
da	〜から〈イタリア語〉〈ポルトガル語〉
hollow	空洞の
citizenship	市民権
fee	料金
wheat	小麦
intervene	介入する
invention	発明
exclusion	排除
distinctive	特徴的な
decay	腐敗
dish	皿
monk	修道士
shrink	縮む
caution	注意
mill	製粉所
morality	道徳
lion	ライオン
dual	二重の
horrible	恐ろしい
detective	探偵
declaration	宣言
knight	騎士
exile	追放
worldwide	世界的に
entertainment	娯楽
recipient	受取人
sovereignty	主権
wive	妻にする
duck	アヒル
sensory	感覚の
normative	規範の
comparable	比較できる
hunger	飢え
attribute	属性
frown	しかめ面
charity	慈善
importantly	重要に
socially	社会的に
realization	実現［=realisation］〈アメリカ英語〉
reconstruction	再建
barrel	樽
towel	タオル
acquaintance	知人
shear	切る
lad	少年
shallow	浅い
rotation	回転
neglect	無視する
explosion	爆発
wherever	どこでも
completion	完了
cease	やめる
volunteer	ボランティア
terrorist	テロリスト
researcher	研究者
consistently	一貫して
problematic	問題のある
numerical	数値の
upward	上向き
bit	少し
flourish	繁栄する
pad	詰め物
disappointment	失望
tag	タグ
contradiction	矛盾
robust	頑丈な
absorb	吸収する
knot	結び目
certainty	確実性
certificate	証明書
allocation	割り当て
amendment	修正
mount	取り付ける
mock	あざける
wipe	拭く
gospel	福音
holder	保持者
crush	押しつぶす
coordination	調整
renal	腎臓の
sway	揺れる
stamp	切手
mainstream	主流
corpse	死体
disturbance	妨害
assertion	断言
bind	縛る
capability	能力
intensive	集中的な
clay	粘土
drum	ドラム
meta	高次の
clerk	事務員
unhappy	不幸な
accent	アクセント
hatred	憎しみ
intake	摂取
sharply	鋭く
continuously	連続的に
commerce	商業
jar	瓶
appreciation	感謝
meditation	瞑想
awkward	ぎこちない
impressive	印象的な
compassion	思いやり
esteem	尊敬
witch	魔女
exert	行使する
cliff	崖
ignorance	無知
utterly	完全に
convenient	便利な
historic	歴史的な
binary	二進法の
cottage	小屋
rod	棒
cart	荷車
correction	訂正
consequently	その結果
positively	積極的に
missionary	宣教師
vitamin	ビタミン
spouse	配偶者
den	巣穴
clever	賢い
feast	宴会
occasional	時折の
pill	錠剤
discount	割引
canal	運河
catalyst	触媒
vague	あいまいな
chaos	混沌
rigid	硬直した
execute	実行する
behold	見る
accurately	正確に
revenge	復讐
complement	補完
basically	基本的に
reproduction	再生
pine	松
accordingly	それに応じて
preliminary	予備の
con	欠点
mentor	指導者
bike	自転車
luxury	贅沢
prop	支持するもの
automatic	自動の
surgeon	外科医
continually	絶えず
characterize	特徴づける
reasonably	合理的に
specification	仕様書
envelope	封筒
hop	跳ぶ
legend	伝説
fiscal	財政の
soup	スープ
shaft	軸
onion	玉ねぎ
miserable	惨めな
princess	王女
ankle	足首
persistent	しつこい
porch	玄関ポーチ
surveillance	監視
immense	巨大な
happily	幸せに
placement	配置
gradient	勾配
bacterial	細菌の
thunder	雷
weigh	重さがある
mouse	ネズミ
controversy	論争
hunter	狩人
impairment	障害
delicious	おいしい
monetary	金銭の
foolish	愚かな
biblical	聖書の
bother	困らせる
offence	違反
midnight	真夜中
handful	一握り
mortal	致命的な
exhibition	展示会
tomb	墓
compete	競う
broadly	広く
dominate	支配する
expedition	遠征
prey	獲物
lab	研究室
celebration	祝賀
locate	位置する
confront	直面する
super	すごい
stance	立場
cellular	細胞の
romance	恋愛
voluntary	自発的な
momentum	勢い
skull	頭蓋骨
silly	馬鹿な
wagon	荷馬車
les	〜たち〈フランス語〉
independently	独立して
remark	意見
overhead	頭上の
veil	ベール
differentiation	差別化
traveling	旅行する〈アメリカ英語〉
primitive	原始的な
fatal	致命的な
marble	大理石
assign	割り当てる
definite	明確な
fur	毛皮
testify	証言する
moan	うめき声
participant	参加者
alternate	交互の
covenant	契約
manipulate	操る
flavor	味
cage	檻
fame	名声
toxic	有毒な
retail	小売
likewise	同様に
pulmonary	肺の
admire	称賛する
clinic	診療所
peripheral	周辺の
residual	残りの
reckon	考える
retirement	引退
humor	ユーモア
carpet	カーペット
recruit	採用する
op	操作［operation の略語］
abundance	豊富
fraud	詐欺
contend	争う
cultivate	耕す
tomato	トマト
severity	厳しさ
continuity	連続性
tray	トレイ
highway	高速道路
lobby	ロビー
hostile	敵対的な
elevator	エレベーター
architect	建築家
fond	好意的な
cooperative	協力的な
sunlight	日光
micro	小さい
inference	推論
causal	原因の
secular	世俗的な
fragment	破片
characterization	特徴づけ
commentary	解説
stiff	堅い
gown	ガウン
chemistry	化学
glare	ぎらつき
offense	違反
norm	基準
precision	精度
gallery	ギャラリー
supervision	監督
wit	機知
app	アプリ
dataset	データセット
favourite	お気に入り
habitat	生息地
queer	奇妙な
initiate	始める
ward	病棟
criterion	基準
stain	染み
surrounding	周囲の
escort	護衛
resistant	耐性のある
petition	請願
assurance	保証
countless	数えきれない
mistress	愛人
correspond	一致する
incredible	信じられない
girlfriend	彼女
calcium	カルシウム
supper	夕食
suppress	抑える
accommodation	宿泊施設
clan	一族
serum	血清
ours	私たちのもの
substantially	実質的に
collaborative	協力的な
tablet	錠剤
melt	溶ける
rhetoric	修辞
tolerate	許容する
socialist	社会主義者
inflation	インフレ
tobacco	たばこ
coastal	沿岸の
texture	質感
stranger	見知らぬ人
radius	半径
magical	魔法の
bride	花嫁
separately	別々に
solvent	溶媒
evolutionary	進化の
underground	地下の
shine	輝く
bend	曲がる
contractor	請負業者
nitrogen	窒素
aura	雰囲気
injustice	不正
skip	飛ばす
notable	注目すべき
probable	ありそうな
headache	頭痛
partition	仕切り
apologize	謝る
restoration	修復
openly	公然と
sandwich	サンドイッチ
formerly	以前は
snap	パチンと鳴る
registration	登録
regain	取り戻す
geometry	幾何学
weary	疲れた
ridiculous	ばかげた
glorious	栄光の
th	〜番目
decent	まともな
installation	設置
provider	提供者
abide	従う
scholar	学者
downstairs	階下
inflammation	炎症
vow	誓い
inheritance	相続
vibration	振動
advise	助言する
saving	節約
suspicious	疑わしい
underneath	下に
aloud	声に出して
heap	山積み
accord	合意
resonance	共鳴
sodium	ナトリウム
selective	選択的な
prevalence	有病率
noun	名詞
semantic	意味の
legitimacy	正当性
bat	コウモリ
ashamed	恥じている
consultation	相談
seldom	めったに〜ない
misery	苦しみ
progression	進行
savage	野蛮な
whereby	〜によって
unnecessary	不必要な
lid	蓋
seller	売り手
barn	納屋
stall	屋台
presidential	大統領の
herd	群れ
implant	移植
geographical	地理的な
politically	政治的に
fairy	妖精
intrinsic	本質的な
coalition	連合
marginal	わずかな
urgent	緊急の
saddle	鞍
boom	急増
metabolic	新陳代謝の
decree	布告
metabolism	代謝
succession	連続
bodily	身体の
spear	槍
vocabulary	語彙
notably	特に
boyfriend	彼氏
colony	植民地
announce	発表する
lane	車線
bump	こぶ
dye	染料
outward	外向きの
unemployment	失業
physiological	生理学的な
perfection	完璧
mankind	人類
flap	はためく
bang	ドンという音
courtyard	中庭
exploitation	搾取
comprehend	理解する
basin	流域
consistency	一貫性
disguise	変装
arbitrary	任意の
plague	疫病
creep	忍び寄る
authentic	本物の
resident	居住者
ridge	尾根
orbit	軌道
implicit	暗黙の
realistic	現実的な
secretly	ひそかに
drawer	引き出し
machinery	機械
toilet	トイレ
pinch	つまむ
jet	ジェット
leak	漏れる
gasp	あえぎ声
noon	正午
piano	ピアノ
ladder	はしご
morrow	翌日
fusion	融合
judgement	判断
packet	小包
compensate	補償する
upright	直立した
painting	絵画
unfortunate	不運な
pioneer	開拓者
preservation	保存
molecule	分子
tenant	借家人
mortgage	抵当
blink	まばたき
supervisor	監督者
adaptive	適応的な
cement	セメント
kindly	親切に
stimulation	刺激
lace	レース
inevitably	必然的に
par	標準
triangle	三角形
deliberate	故意の
lipid	脂質
quotation	引用
undoubtedly	間違いなく
rubber	ゴム
league	リーグ
cavity	空洞
withdrawal	撤退
amino	アミノ
corrupt	腐敗した
institute	研究所
hesitate	ためらう
straightforward	率直な
monthly	毎月の
gland	腺
sneak	こっそり動く
presently	間もなく
imperative	必須の
pension	年金
facial	顔の
sadness	悲しみ
maximize	最大化する
severely	厳しく
heir	相続人
discrete	個別の
destiny	運命
magnificent	壮大な
boost	増加
indicator	指標
instructor	指導者
apparatus	装置
rat	ネズミ
puzzle	パズル
diary	日記
oak	オーク（樫の木）
analogy	類推
ally	同盟国
racism	人種差別
confession	告白
endeavor	努力
consist	成る
singer	歌手
visitor	訪問者
frontier	国境
inclusive	包括的な
weekly	週刊の
poetic	詩的な
temptation	誘惑
inadequate	不十分な
baseline	基準線
disagree	反対する
warn	警告する
insulin	インスリン
disrupt	混乱させる
presumably	おそらく
ego	自我
tremendous	非常な
remainder	残り
neighbour	隣人
inability	無能力
steadily	着実に
fetch	取ってくる
pie	パイ
comic	漫画の
shelf	棚
pistol	ピストル
admiration	感嘆
reminder	思い出させるもの
quest	探求
historically	歴史的に
restrict	制限する
seizure	発作
punish	罰する
biology	生物学
autonomous	自律的な
willingness	意欲
approximate	おおよその
roast	ローストする
monument	記念碑
descent	下降
railroad	鉄道
toss	投げる
flux	流動
threaten	脅かす
governmental	政府の
goat	ヤギ
sting	刺す
sheer	全くの
cloak	マント
elegant	優雅な
genome	ゲノム
documentation	文書
autumn	秋
denial	否定
elevation	標高
fog	霧
hardware	ハードウェア
disposal	処分
accountability	責任
successor	後継者
transparent	透明な
posture	姿勢
costume	衣装
controller	コントローラー
prospective	将来の
flee	逃げる
vascular	血管の
deposition	堆積
maturity	成熟
flock	群れ
clip	クリップ
nightmare	悪夢
approximation	近似
champion	チャンピオン
deadly	致命的な
socio	社会（接頭辞）
demographic	人口統計の
analyst	分析者
loyal	忠実な
mist	霧
deputy	代理人
devotion	献身
rabbit	ウサギ
earthquake	地震
yeah	うん
repetition	繰り返し
forgiveness	許し
martial	戦争の
lemon	レモン
activate	活性化する
abundant	豊富な
qualify	資格を得る
resilience	回復力
cooling	冷却
sensible	分別のある
supreme	最高の
poorly	不十分に
maternal	母の
thrive	繁栄する
dot	点
casual	カジュアルな
formally	正式に
earnings	収益
competent	有能な
abnormal	異常な
insufficient	不十分な
sexuality	性的指向
appetite	食欲
nail	爪
desperately	必死に
variability	変動性
imaginary	想像上の
dock	ドック
motive	動機
helpless	無力な
emission	排出
groan	うめき声
dilemma	ジレンマ
territorial	領土の
toxicity	毒性
receiver	受信機
globe	地球
summarize	要約する
ranch	牧場
residential	住宅の
sob	すすり泣く
coldly	冷たく
defensive	防御的な
clarity	明快さ
validation	検証
tooth	歯
violate	違反する
voyage	航海
regiment	連隊
generator	発電機
preach	説教する
arena	競技場
relational	関係の
favorable	好ましい
token	象徴
rent	家賃
righteous	正義の
intersection	交差点
oath	誓い
surprisingly	驚くほど
albeit	〜ではあるが
synthetic	合成の
grammar	文法
oneself	自分自身
depart	出発する
generic	一般的な
graft	移植
compression	圧縮
limitation	制限
furious	激怒した
graphic	グラフィックの
passionate	情熱的な
pore	細かく調べる
bastard	ろくでなし
raid	急襲
navigate	航行する
hedge	生け垣
outstanding	優れた
closet	戸棚
shy	恥ずかしがりの
arc	弧
anticipate	予期する
dislike	嫌う
thorough	徹底的な
flip	ひっくり返す
sympathetic	共感的な
pond	池
fork	フォーク
guardian	守護者
congregation	集会
oxidation	酸化
tin	スズ
warrior	戦士
officially	正式に
leverage	てこの力
stern	厳格な
vaccine	ワクチン
abruptly	突然に
moisture	湿気
popularity	人気
bloom	花が咲く
armor	鎧
seize	つかむ
boast	自慢する
revision	改訂
liable	責任がある
multitude	多数
jealous	嫉妬深い
straw	わら
compact	小型の
auditor	監査人
corpus	集成
communist	共産主義者
applicant	応募者
controversial	議論の的の
nonsense	ばかげたこと
carcinoma	がん
spectacle	光景
publish	出版する
differentiate	区別する
strap	ひも
stalk	茎
locally	局所的に
defect	欠陥
simplicity	単純さ
discretion	裁量
amplitude	振幅
calmly	落ち着いて
buzz	ブンブンいう音
messenger	使者
travelling	旅行する［=traveling］〈イギリス英語〉
sexy	セクシーな
coil	巻く
prosperity	繁栄
taxi	タクシー
reservation	予約
polite	丁寧な
affirm	断言する
articulate	はっきり話す
cf	参照せよ［conferの略］〈ラテン語〉
whistle	口笛
elementary	基本的な
lick	なめる
closure	閉鎖
hut	小屋
conceal	隠す
intentionally	意図的に
cortex	皮質
dysfunction	機能障害
spill	こぼす
ignorant	無知な
persist	続く
dramatically	劇的に
template	型
encouragement	励まし
questionnaire	アンケート
los	〜たち〈スペイン語〉
lately	最近
hesitation	ためらい
mentally	精神的に
max	最大
subset	部分集合
fitness	健康
toast	トースト
garlic	にんにく
proximity	近接
outlet	出口
beef	牛肉
terrorism	テロリズム
vitro	試験管内の
pencil	鉛筆
insert	挿入する
supportive	支援的な
anticipation	予想
imagery	イメージ
atomic	原子の
outbreak	発生
rebellion	反乱
parental	親の
cum	兼ねての
spontaneous	自発的な
intact	無傷の
offensive	攻撃的な
wavelength	波長
spinal	脊髄の
gossip	うわさ話
timber	木材
tire	疲れる
cancel	キャンセルする
endeavour	努力する
infer	推測する
traditionally	伝統的に
geography	地理
interrupt	妨げる
wilderness	荒野
whoever	誰でも
friction	摩擦
diminish	減少する
retention	保持
vacuum	真空
conjunction	接続詞
computational	計算の
restraint	抑制
feminine	女性らしい
conform	従う
approve	承認する
alignment	整列
submission	服従
stabilize	安定させる
supporter	支持者
textbook	教科書
goodbye	さようなら
nutrition	栄養
discern	見分ける
diplomatic	外交の
instability	不安定さ
dependency	依存
vacation	休暇
cognition	認知
multiply	増やす
retrieval	回収
forum	フォーラム
legally	法的に
rack	棚
oppression	抑圧
manipulation	操作
warfare	戦争
sermon	説教
govern	統治する
destructive	破壊的な
toe	つま先
patron	後援者
inspect	検査する
bucket	バケツ
opt	選ぶ
vocal	声の
theorem	定理
mayor	市長
addiction	中毒
deer	鹿
goddess	女神
swell	膨らむ
reactor	原子炉
refusal	拒否
reconcile	和解する
pledge	誓約
pardon	許す
hike	ハイキング
tropical	熱帯の
mitigate	和らげる
sweep	掃く
harbor	港
nationalism	国家主義
ounce	オンス
ink	インク
gauge	計測器
rude	無礼な
refuge	避難所
butt	尻
rejoice	喜ぶ
cohort	仲間
hostility	敵意
municipal	市の
provincial	地方の
bull	雄牛
splendid	素晴らしい
broker	仲介者
receipt	領収書
diffuse	拡散する
garage	車庫
thereof	それの
salad	サラダ
nationalist	国家主義者
elephant	象
peptide	ペプチド
bitch	雌犬
vegetable	野菜
amid	～の中で
sect	宗派
antigen	抗原
painter	画家
honestly	正直に
incomplete	不完全な
breakdown	故障
obedience	服従
stool	椅子|便
prosecution	起訴
ing	〜している（接尾辞）
disruption	混乱
decisive	決定的な
scholarly	学術的な
exceptional	例外的な
afterward	その後［=afterwards］〈アメリカ英語〉
mold	カビ
traumatic	心的外傷の
legislature	立法府
elder	年長者
heavenly	天の
alloy	合金
median	中央値
distribute	分配する
urine	尿
societal	社会の
quarrel	口論
ibid	同上
bless	祝福する
adhere	付着する
reproduce	再生する
er	～する人
consume	消費する
junction	交差点
reactive	反応性の
baseball	野球
courtesy	礼儀
intuition	直感
idiot	ばか
induction	誘導
calendar	カレンダー
cinema	映画館
basement	地下室
cooperate	協力する
tackle	取り組む
organism	生物
batch	一群
math	数学
trim	整える
unclear	不明瞭な
prescription	処方箋
surplus	余剰
moreover	その上
suite	一式
leisure	余暇
harmful	有害な
tragic	悲劇的な
slender	細い
conceive	考える
specimen	標本
darling	愛しい人
flank	側面
fossil	化石
reservoir	貯水池
indirectly	間接的に
inhibition	抑制
instrumental	役立つ
compliment	称賛
reinforcement	強化
elastic	弾力のある
cargo	貨物
fury	激怒
ch	チャネル［channelの略］
enhancement	強化
attendant	付き添い
convergence	収束
nonetheless	それにもかかわらず
inscription	碑文
computation	計算
neighbourhood	近所
knit	編む
aggression	攻撃性
prone	～しがちな
hum	ぶんぶんいう
sore	痛い
cylinder	円筒
reluctant	気が進まない
halfway	途中で
discomfort	不快感
plantation	プランテーション
civic	市民の
amusement	楽しみ
operative	作用する
architectural	建築の
monkey	サル
stride	大股で歩く
proliferation	増殖
thigh	太もも
selfish	利己的な
fare	運賃
deed	行為
dip	浸す
enjoyment	楽しみ
limb	手足
lawn	芝生
transparency	透明性
recommendation	推薦
constraint	制約
temporarily	一時的に
contempt	軽蔑
producer	生産者
relieve	和らげる
assay	分析
gorgeous	豪華な
rebuild	再建する
electoral	選挙の
awe	畏怖
crude	粗野な
fortunate	幸運な
suspension	中断
burial	埋葬
deployment	配置
solidarity	連帯
tick	チェックマーク
satisfactory	満足な
fatty	脂肪の多い
empathy	共感
splash	はねる
brace	支える
pastor	牧師
graphene	グラフェン
extensively	広範囲に
rider	乗り手
elicit	引き出す
disk	円盤
ascertain	確かめる
vegetation	植生
realise	気づく
bin	ごみ箱
parish	教区
abdominal	腹部の
dioxide	二酸化物
marker	印
liberation	解放
lively	活発な
statutory	法定の
murmur	ささやき
stitch	縫い目
downward	下向きに
portal	入口
announcement	発表
nurture	育てる
dominance	優位
consultant	相談役
missile	ミサイル
coherent	首尾一貫した
envy	羨望
reproductive	生殖の
dam	ダム
wax	蝋
junior	年下の
apology	謝罪
conquest	征服
swift	速い
sediment	堆積物
conditional	条件付きの
slap	平手打ち
meantime	その間に
jam	渋滞
canvas	キャンバス
blossom	花
beneficiary	受益者
recognise	認識する［=recognize］〈イギリス英語〉
analyse	分析する
propaganda	宣伝
lump	塊
prophecy	予言
emotionally	感情的に
sincere	誠実な
bilateral	両側の
confirmation	確認
incorrect	間違った
purity	純度
winner	勝者
distraction	気を散らすもの
premium	プレミアム
ambitious	野心的な
tourist	観光客
align	整列させる
predominantly	主に
provoke	引き起こす
chap	やつ
affinity	親近感
nephew	甥
shrug	肩をすくめる
fundamentally	根本的に
unwilling	気が進まない
drought	干ばつ
fibre	繊維
circumstance	状況
rehabilitation	リハビリ
gel	ゼリー状のもの
spiral	螺旋
countenance	表情
collision	衝突
motivate	動機づける
spoon	スプーン
landlord	大家
fuzzy	ぼんやりした
scientist	科学者
immigrant	移民
ml	ミリリットル
fort	要塞
warehouse	倉庫
restriction	制限
periodic	周期的な
clash	衝突
atom	原子
righteousness	正義
summit	頂上
transmit	送る
cute	かわいい
naval	海軍の
mum	母親（俗語）
costly	高価な
sack	袋
disagreement	不一致
accomplishment	達成
boot	ブーツ
flush	赤らむ
irregular	不規則な
worm	ミミズ
evolve	進化する
outfit	服装
eagerly	熱心に
immunity	免疫
longitudinal	縦の
sickness	病気
bud	芽
foam	泡
negotiation	交渉
rub	こする
download	ダウンロードする
laptop	ノートパソコン
compatible	互換性のある
feasible	実行可能な
deformation	変形
solemn	厳粛な
viable	実行可能な
coincide	同時に起こる
pp	ページ数［pagesの略語］
speculation	推測
icon	象徴
safeguard	保護する
solitary	孤独な
sculpture	彫刻
scarce	不足している
reliance	依存
unpleasant	不快な
summon	呼び出す
earnest	真剣な
streak	筋
dreadful	ひどい
proportional	比例した
plug	栓
coupling	連結
gradual	徐々の
abortion	中絶
interactive	相互作用の
individually	個別に
deity	神
biomass	バイオマス
murderer	殺人者
sunshine	日光
chromosome	染色体
republic	共和国
colleague	同僚
coarse	粗い
suck	吸う
attendance	出席
advertisement	広告
contingent	依存する
signify	意味する
teaching	教育
imprint	刻印
captive	捕虜
ripple	さざ波
viral	ウイルス性の
ethnicity	民族性
tech	技術
slaughter	虐殺
intimacy	親密さ
retire	引退する
hood	フード
overnight	一晩中
wreck	難破
critically	批判的に
culturally	文化的に
advancement	進歩
scandal	スキャンダル
spur	拍車
paste	ペースト
neat	きちんとした
si	もし〜なら〈フランス語〉〈イタリア語〉
nonlinear	非線形の
affective	感情の
hurriedly	慌てて
revolt	反乱
intellect	知性
dismiss	解雇する
incredibly	信じられないほど
spoil	台無しにする
perish	死ぬ
transnational	多国籍の
bronze	青銅
lust	欲望
waiter	ウェイター
audio	音声の
offend	怒らせる
policeman	警察官
unfortunately	残念ながら
narrator	語り手
offspring	子孫
terminology	専門用語
chapel	礼拝堂
vols	飛ぶ［volverの活用形］〈フランス語〉
rationale	理由
integer	整数
doll	人形
pearl	真珠
swiftly	素早く
convenience	便利さ
acceleration	加速
rim	縁
refrain	控える
thrill	スリル
adj	形容詞［adjectiveの略語］
